

Microchip Technology PIC PRO Macro Assembler V2.00 build -1524193055 
                                                                                               Thu Apr 11 11:59:54 2019

Microchip Technology Omniscient Code Generator v2.00 (PRO mode) build 20180527130849
     1                           	processor	16F15344
     2                           	opt	pw 120
     3                           	opt	pm
     4                           	psect	nvCOMMON,global,class=COMMON,space=1,delta=1
     5                           	psect	nvBANK0,global,class=BANK0,space=1,delta=1
     6                           	psect	cinit,global,class=CODE,merge=1,delta=2
     7                           	psect	bssCOMMON,global,class=COMMON,space=1,delta=1
     8                           	psect	bssBANK0,global,class=BANK0,space=1,delta=1
     9                           	psect	clrtext,global,class=CODE,delta=2
    10                           	psect	cstackCOMMON,global,class=COMMON,space=1,delta=1
    11                           	psect	cstackBANK0,global,class=BANK0,space=1,delta=1
    12                           	psect	text2,local,class=CODE,merge=1,delta=2
    13                           	psect	text5,local,class=CODE,merge=1,delta=2
    14                           	psect	swtext1,local,class=CONST,delta=2
    15                           	psect	text26,local,class=CODE,merge=1,delta=2
    16                           	psect	text28,local,class=CODE,merge=1,delta=2
    17                           	psect	text29,local,class=CODE,merge=1,delta=2
    18                           	psect	text36,local,class=CODE,merge=1,delta=2
    19                           	psect	text40,local,class=CODE,merge=1,delta=2
    20                           	psect	text41,local,class=CODE,merge=1,delta=2
    21                           	psect	text43,local,class=CODE,merge=1,delta=2
    22                           	psect	text45,local,class=CODE,merge=1,delta=2
    23                           	psect	text55,local,class=CODE,merge=1,delta=2
    24                           	psect	intentry,global,class=CODE,delta=2
    25                           	psect	text61,local,class=CODE,merge=1,delta=2
    26                           	psect	text62,local,class=CODE,merge=1,delta=2
    27                           	psect	text63,local,class=CODE,merge=1,delta=2
    28                           	psect	text65,local,class=CODE,merge=1,delta=2
    29                           	psect	text66,local,class=CODE,merge=1,delta=2
    30                           	psect	text69,local,class=CODE,merge=1,delta=2
    31                           	psect	text71,local,class=CODE,merge=1,delta=2
    32                           	psect	text72,local,class=CODE,merge=1,delta=2
    33                           	psect	text75,local,class=CODE,merge=1,delta=2
    34                           	psect	text77,local,class=CODE,merge=1,delta=2
    35                           	psect	text78,local,class=CODE,merge=1,delta=2
    36                           	psect	text79,local,class=CODE,merge=1,delta=2
    37                           	psect	text80,local,class=CODE,merge=1,delta=2
    38                           	psect	text81,local,class=CODE,merge=1,delta=2
    39                           	psect	pa_nodes0,global,class=CODE,delta=2
    40                           	dabs	1,0x7E,2
    41  0000                     
    42                           ; Version 2.00
   295  1E1B                     	;# 
   296  1E1C                     	;# 
   297  1E1D                     	;# 
   298  1E1E                     	;# 
   299  1E1F                     	;# 
   300  1E20                     	;# 
   301  1E21                     	;# 
   302  1E22                     	;# 
   303  1E23                     	;# 
   304  1E24                     	;# 
   305  1E25                     	;# 
   306  1E26                     	;# 
   307  1E27                     	;# 
   308  1E28                     	;# 
   309  1E29                     	;# 
   310  1E2A                     	;# 
   311  1E2B                     	;# 
   312  1E2C                     	;# 
   313  1E2D                     	;# 
   314  1E2E                     	;# 
   315  1E2F                     	;# 
   316  1E30                     	;# 
   317  1E31                     	;# 
   318  1E32                     	;# 
   319  1E33                     	;# 
   320  1E34                     	;# 
   321  1E35                     	;# 
   322  1E36                     	;# 
   323  1E37                     	;# 
   324  1E8F                     	;# 
   325  1E90                     	;# 
   326  1E91                     	;# 
   327  1E92                     	;# 
   328  1E93                     	;# 
   329  1E9C                     	;# 
   330  1EA1                     	;# 
   331  1EA2                     	;# 
   332  1EB1                     	;# 
   333  1EBB                     	;# 
   334  1EBC                     	;# 
   335  1EBD                     	;# 
   336  1EBE                     	;# 
   337  1EC3                     	;# 
   338  1EC5                     	;# 
   339  1EC6                     	;# 
   340  1EC7                     	;# 
   341  1ECB                     	;# 
   342  1ECC                     	;# 
   343  1ECD                     	;# 
   344  1ECE                     	;# 
   345  1F10                     	;# 
   346  1F11                     	;# 
   347  1F12                     	;# 
   348  1F13                     	;# 
   349  1F14                     	;# 
   350  1F15                     	;# 
   351  1F1C                     	;# 
   352  1F1D                     	;# 
   353  1F1E                     	;# 
   354  1F1F                     	;# 
   355  1F20                     	;# 
   356  1F21                     	;# 
   357  1F22                     	;# 
   358  1F23                     	;# 
   359  1F24                     	;# 
   360  1F25                     	;# 
   361  1F26                     	;# 
   362  1F27                     	;# 
   363  1F38                     	;# 
   364  1F39                     	;# 
   365  1F3A                     	;# 
   366  1F3B                     	;# 
   367  1F3C                     	;# 
   368  1F3D                     	;# 
   369  1F3E                     	;# 
   370  1F3F                     	;# 
   371  1F43                     	;# 
   372  1F44                     	;# 
   373  1F45                     	;# 
   374  1F46                     	;# 
   375  1F47                     	;# 
   376  1F48                     	;# 
   377  1F49                     	;# 
   378  1F4A                     	;# 
   379  1F4E                     	;# 
   380  1F4F                     	;# 
   381  1F50                     	;# 
   382  1F51                     	;# 
   383  1F52                     	;# 
   384  1F53                     	;# 
   385  1F54                     	;# 
   386  1F55                     	;# 
   387  1FE4                     	;# 
   388  1FE5                     	;# 
   389  1FE6                     	;# 
   390  1FE7                     	;# 
   391  1FE8                     	;# 
   392  1FE8                     	;# 
   393  1FE9                     	;# 
   394  1FEA                     	;# 
   395  1FEA                     	;# 
   396  1FEB                     	;# 
   397  1FED                     	;# 
   398  1FEE                     	;# 
   399  1FEF                     	;# 
   400  0000                     	;# 
   401  0001                     	;# 
   402  0002                     	;# 
   403  0003                     	;# 
   404  0004                     	;# 
   405  0005                     	;# 
   406  0006                     	;# 
   407  0007                     	;# 
   408  0008                     	;# 
   409  0009                     	;# 
   410  000A                     	;# 
   411  000B                     	;# 
   412  000C                     	;# 
   413  000D                     	;# 
   414  000E                     	;# 
   415  0012                     	;# 
   416  0013                     	;# 
   417  0014                     	;# 
   418  0018                     	;# 
   419  0019                     	;# 
   420  001A                     	;# 
   421  009B                     	;# 
   422  009B                     	;# 
   423  009C                     	;# 
   424  009D                     	;# 
   425  009E                     	;# 
   426  009F                     	;# 
   427  0119                     	;# 
   428  0119                     	;# 
   429  0119                     	;# 
   430  011A                     	;# 
   431  011A                     	;# 
   432  011A                     	;# 
   433  011B                     	;# 
   434  011B                     	;# 
   435  011B                     	;# 
   436  011B                     	;# 
   437  011B                     	;# 
   438  011C                     	;# 
   439  011C                     	;# 
   440  011C                     	;# 
   441  011D                     	;# 
   442  011D                     	;# 
   443  011D                     	;# 
   444  011E                     	;# 
   445  011E                     	;# 
   446  011E                     	;# 
   447  011F                     	;# 
   448  011F                     	;# 
   449  011F                     	;# 
   450  011F                     	;# 
   451  011F                     	;# 
   452  018C                     	;# 
   453  018D                     	;# 
   454  018E                     	;# 
   455  018F                     	;# 
   456  0190                     	;# 
   457  0191                     	;# 
   458  0192                     	;# 
   459  020C                     	;# 
   460  020C                     	;# 
   461  020D                     	;# 
   462  020E                     	;# 
   463  020F                     	;# 
   464  020F                     	;# 
   465  0210                     	;# 
   466  0210                     	;# 
   467  0211                     	;# 
   468  0211                     	;# 
   469  028C                     	;# 
   470  028C                     	;# 
   471  028D                     	;# 
   472  028D                     	;# 
   473  028E                     	;# 
   474  028F                     	;# 
   475  0290                     	;# 
   476  0291                     	;# 
   477  030C                     	;# 
   478  030C                     	;# 
   479  030D                     	;# 
   480  030E                     	;# 
   481  030F                     	;# 
   482  0310                     	;# 
   483  0310                     	;# 
   484  0311                     	;# 
   485  0312                     	;# 
   486  0313                     	;# 
   487  0314                     	;# 
   488  0314                     	;# 
   489  0315                     	;# 
   490  0316                     	;# 
   491  0318                     	;# 
   492  0318                     	;# 
   493  0319                     	;# 
   494  031A                     	;# 
   495  031C                     	;# 
   496  031C                     	;# 
   497  031D                     	;# 
   498  031E                     	;# 
   499  038C                     	;# 
   500  038C                     	;# 
   501  038D                     	;# 
   502  038E                     	;# 
   503  058C                     	;# 
   504  058C                     	;# 
   505  058D                     	;# 
   506  058E                     	;# 
   507  058F                     	;# 
   508  058F                     	;# 
   509  0590                     	;# 
   510  0591                     	;# 
   511  0592                     	;# 
   512  0593                     	;# 
   513  059C                     	;# 
   514  059C                     	;# 
   515  059D                     	;# 
   516  059D                     	;# 
   517  059E                     	;# 
   518  059F                     	;# 
   519  060C                     	;# 
   520  060D                     	;# 
   521  060E                     	;# 
   522  060F                     	;# 
   523  0610                     	;# 
   524  0611                     	;# 
   525  0612                     	;# 
   526  0613                     	;# 
   527  0614                     	;# 
   528  070C                     	;# 
   529  070D                     	;# 
   530  070E                     	;# 
   531  070F                     	;# 
   532  0710                     	;# 
   533  0711                     	;# 
   534  0712                     	;# 
   535  0713                     	;# 
   536  0716                     	;# 
   537  0717                     	;# 
   538  0718                     	;# 
   539  0719                     	;# 
   540  071A                     	;# 
   541  071B                     	;# 
   542  071C                     	;# 
   543  071D                     	;# 
   544  0796                     	;# 
   545  0797                     	;# 
   546  0798                     	;# 
   547  0799                     	;# 
   548  079A                     	;# 
   549  079B                     	;# 
   550  080C                     	;# 
   551  080D                     	;# 
   552  080E                     	;# 
   553  080F                     	;# 
   554  0810                     	;# 
   555  0811                     	;# 
   556  0812                     	;# 
   557  0813                     	;# 
   558  0814                     	;# 
   559  081A                     	;# 
   560  081A                     	;# 
   561  081B                     	;# 
   562  081C                     	;# 
   563  081C                     	;# 
   564  081D                     	;# 
   565  081E                     	;# 
   566  081F                     	;# 
   567  088C                     	;# 
   568  088D                     	;# 
   569  088E                     	;# 
   570  088F                     	;# 
   571  0890                     	;# 
   572  0891                     	;# 
   573  0892                     	;# 
   574  0893                     	;# 
   575  0895                     	;# 
   576  0896                     	;# 
   577  090C                     	;# 
   578  090E                     	;# 
   579  090F                     	;# 
   580  091F                     	;# 
   581  098F                     	;# 
   582  098F                     	;# 
   583  0990                     	;# 
   584  0991                     	;# 
   585  0992                     	;# 
   586  0993                     	;# 
   587  0994                     	;# 
   588  0995                     	;# 
   589  0996                     	;# 
   590  0997                     	;# 
   591  0A19                     	;# 
   592  0A19                     	;# 
   593  0A1A                     	;# 
   594  0A1A                     	;# 
   595  0A1B                     	;# 
   596  0A1B                     	;# 
   597  0A1B                     	;# 
   598  0A1C                     	;# 
   599  0A1C                     	;# 
   600  0A1D                     	;# 
   601  0A1D                     	;# 
   602  0A1E                     	;# 
   603  0A1E                     	;# 
   604  0A1F                     	;# 
   605  0A1F                     	;# 
   606  0A1F                     	;# 
   607  1E0F                     	;# 
   608  1E10                     	;# 
   609  1E11                     	;# 
   610  1E12                     	;# 
   611  1E13                     	;# 
   612  1E14                     	;# 
   613  1E15                     	;# 
   614  1E16                     	;# 
   615  1E17                     	;# 
   616  1E18                     	;# 
   617  1E19                     	;# 
   618  1E1A                     	;# 
   619  1E1B                     	;# 
   620  1E1C                     	;# 
   621  1E1D                     	;# 
   622  1E1E                     	;# 
   623  1E1F                     	;# 
   624  1E20                     	;# 
   625  1E21                     	;# 
   626  1E22                     	;# 
   627  1E23                     	;# 
   628  1E24                     	;# 
   629  1E25                     	;# 
   630  1E26                     	;# 
   631  1E27                     	;# 
   632  1E28                     	;# 
   633  1E29                     	;# 
   634  1E2A                     	;# 
   635  1E2B                     	;# 
   636  1E2C                     	;# 
   637  1E2D                     	;# 
   638  1E2E                     	;# 
   639  1E2F                     	;# 
   640  1E30                     	;# 
   641  1E31                     	;# 
   642  1E32                     	;# 
   643  1E33                     	;# 
   644  1E34                     	;# 
   645  1E35                     	;# 
   646  1E36                     	;# 
   647  1E37                     	;# 
   648  1E8F                     	;# 
   649  1E90                     	;# 
   650  1E91                     	;# 
   651  1E92                     	;# 
   652  1E93                     	;# 
   653  1E9C                     	;# 
   654  1EA1                     	;# 
   655  1EA2                     	;# 
   656  1EB1                     	;# 
   657  1EBB                     	;# 
   658  1EBC                     	;# 
   659  1EBD                     	;# 
   660  1EBE                     	;# 
   661  1EC3                     	;# 
   662  1EC5                     	;# 
   663  1EC6                     	;# 
   664  1EC7                     	;# 
   665  1ECB                     	;# 
   666  1ECC                     	;# 
   667  1ECD                     	;# 
   668  1ECE                     	;# 
   669  1F10                     	;# 
   670  1F11                     	;# 
   671  1F12                     	;# 
   672  1F13                     	;# 
   673  1F14                     	;# 
   674  1F15                     	;# 
   675  1F1C                     	;# 
   676  1F1D                     	;# 
   677  1F1E                     	;# 
   678  1F1F                     	;# 
   679  1F20                     	;# 
   680  1F21                     	;# 
   681  1F22                     	;# 
   682  1F23                     	;# 
   683  1F24                     	;# 
   684  1F25                     	;# 
   685  1F26                     	;# 
   686  1F27                     	;# 
   687  1F38                     	;# 
   688  1F39                     	;# 
   689  1F3A                     	;# 
   690  1F3B                     	;# 
   691  1F3C                     	;# 
   692  1F3D                     	;# 
   693  1F3E                     	;# 
   694  1F3F                     	;# 
   695  1F43                     	;# 
   696  1F44                     	;# 
   697  1F45                     	;# 
   698  1F46                     	;# 
   699  1F47                     	;# 
   700  1F48                     	;# 
   701  1F49                     	;# 
   702  1F4A                     	;# 
   703  1F4E                     	;# 
   704  1F4F                     	;# 
   705  1F50                     	;# 
   706  1F51                     	;# 
   707  1F52                     	;# 
   708  1F53                     	;# 
   709  1F54                     	;# 
   710  1F55                     	;# 
   711  1FE4                     	;# 
   712  1FE5                     	;# 
   713  1FE6                     	;# 
   714  1FE7                     	;# 
   715  1FE8                     	;# 
   716  1FE8                     	;# 
   717  1FE9                     	;# 
   718  1FEA                     	;# 
   719  1FEA                     	;# 
   720  1FEB                     	;# 
   721  1FED                     	;# 
   722  1FEE                     	;# 
   723  1FEF                     	;# 
   724  0000                     	;# 
   725  0001                     	;# 
   726  0002                     	;# 
   727  0003                     	;# 
   728  0004                     	;# 
   729  0005                     	;# 
   730  0006                     	;# 
   731  0007                     	;# 
   732  0008                     	;# 
   733  0009                     	;# 
   734  000A                     	;# 
   735  000B                     	;# 
   736  000C                     	;# 
   737  000D                     	;# 
   738  000E                     	;# 
   739  0012                     	;# 
   740  0013                     	;# 
   741  0014                     	;# 
   742  0018                     	;# 
   743  0019                     	;# 
   744  001A                     	;# 
   745  009B                     	;# 
   746  009B                     	;# 
   747  009C                     	;# 
   748  009D                     	;# 
   749  009E                     	;# 
   750  009F                     	;# 
   751  0119                     	;# 
   752  0119                     	;# 
   753  0119                     	;# 
   754  011A                     	;# 
   755  011A                     	;# 
   756  011A                     	;# 
   757  011B                     	;# 
   758  011B                     	;# 
   759  011B                     	;# 
   760  011B                     	;# 
   761  011B                     	;# 
   762  011C                     	;# 
   763  011C                     	;# 
   764  011C                     	;# 
   765  011D                     	;# 
   766  011D                     	;# 
   767  011D                     	;# 
   768  011E                     	;# 
   769  011E                     	;# 
   770  011E                     	;# 
   771  011F                     	;# 
   772  011F                     	;# 
   773  011F                     	;# 
   774  011F                     	;# 
   775  011F                     	;# 
   776  018C                     	;# 
   777  018D                     	;# 
   778  018E                     	;# 
   779  018F                     	;# 
   780  0190                     	;# 
   781  0191                     	;# 
   782  0192                     	;# 
   783  020C                     	;# 
   784  020C                     	;# 
   785  020D                     	;# 
   786  020E                     	;# 
   787  020F                     	;# 
   788  020F                     	;# 
   789  0210                     	;# 
   790  0210                     	;# 
   791  0211                     	;# 
   792  0211                     	;# 
   793  028C                     	;# 
   794  028C                     	;# 
   795  028D                     	;# 
   796  028D                     	;# 
   797  028E                     	;# 
   798  028F                     	;# 
   799  0290                     	;# 
   800  0291                     	;# 
   801  030C                     	;# 
   802  030C                     	;# 
   803  030D                     	;# 
   804  030E                     	;# 
   805  030F                     	;# 
   806  0310                     	;# 
   807  0310                     	;# 
   808  0311                     	;# 
   809  0312                     	;# 
   810  0313                     	;# 
   811  0314                     	;# 
   812  0314                     	;# 
   813  0315                     	;# 
   814  0316                     	;# 
   815  0318                     	;# 
   816  0318                     	;# 
   817  0319                     	;# 
   818  031A                     	;# 
   819  031C                     	;# 
   820  031C                     	;# 
   821  031D                     	;# 
   822  031E                     	;# 
   823  038C                     	;# 
   824  038C                     	;# 
   825  038D                     	;# 
   826  038E                     	;# 
   827  058C                     	;# 
   828  058C                     	;# 
   829  058D                     	;# 
   830  058E                     	;# 
   831  058F                     	;# 
   832  058F                     	;# 
   833  0590                     	;# 
   834  0591                     	;# 
   835  0592                     	;# 
   836  0593                     	;# 
   837  059C                     	;# 
   838  059C                     	;# 
   839  059D                     	;# 
   840  059D                     	;# 
   841  059E                     	;# 
   842  059F                     	;# 
   843  060C                     	;# 
   844  060D                     	;# 
   845  060E                     	;# 
   846  060F                     	;# 
   847  0610                     	;# 
   848  0611                     	;# 
   849  0612                     	;# 
   850  0613                     	;# 
   851  0614                     	;# 
   852  070C                     	;# 
   853  070D                     	;# 
   854  070E                     	;# 
   855  070F                     	;# 
   856  0710                     	;# 
   857  0711                     	;# 
   858  0712                     	;# 
   859  0713                     	;# 
   860  0716                     	;# 
   861  0717                     	;# 
   862  0718                     	;# 
   863  0719                     	;# 
   864  071A                     	;# 
   865  071B                     	;# 
   866  071C                     	;# 
   867  071D                     	;# 
   868  0796                     	;# 
   869  0797                     	;# 
   870  0798                     	;# 
   871  0799                     	;# 
   872  079A                     	;# 
   873  079B                     	;# 
   874  080C                     	;# 
   875  080D                     	;# 
   876  080E                     	;# 
   877  080F                     	;# 
   878  0810                     	;# 
   879  0811                     	;# 
   880  0812                     	;# 
   881  0813                     	;# 
   882  0814                     	;# 
   883  081A                     	;# 
   884  081A                     	;# 
   885  081B                     	;# 
   886  081C                     	;# 
   887  081C                     	;# 
   888  081D                     	;# 
   889  081E                     	;# 
   890  081F                     	;# 
   891  088C                     	;# 
   892  088D                     	;# 
   893  088E                     	;# 
   894  088F                     	;# 
   895  0890                     	;# 
   896  0891                     	;# 
   897  0892                     	;# 
   898  0893                     	;# 
   899  0895                     	;# 
   900  0896                     	;# 
   901  090C                     	;# 
   902  090E                     	;# 
   903  090F                     	;# 
   904  091F                     	;# 
   905  098F                     	;# 
   906  098F                     	;# 
   907  0990                     	;# 
   908  0991                     	;# 
   909  0992                     	;# 
   910  0993                     	;# 
   911  0994                     	;# 
   912  0995                     	;# 
   913  0996                     	;# 
   914  0997                     	;# 
   915  0A19                     	;# 
